source,target
20.08.2031,2031-08-20
"October 24, 2007",2007-10-24
08.04.1973,1973-04-08
"Jan 14, 2029",2029-01-14
4th of October 1978,1978-10-04
"April 10, 2023",2023-04-10
28th of April 2016,2016-04-28
07/17/2001,2001-07-17
"Dec 23, 2003",2003-12-23
10.08.2015,2015-08-10
24 March 2000,2000-03-24
4 August 2025,2025-08-04
01/04/1998,1998-01-04
23.06.2033,2033-06-23
08/13/2023,2023-08-13
"June 11, 1987",1987-06-11
"January 3, 2034",2034-01-03
"September 25, 2032",2032-09-25
14 May 2016,2016-05-14
19 October 2010,2010-10-19
28.04.2004,2004-04-28
27.07.1982,1982-07-27
"Aug 2, 2016",2016-08-02
02/07/2000,2000-02-07
18.07.2017,2017-07-18
05/19/2014,2014-05-19
19th of January 1977,1977-01-19
7 April 2008,2008-04-07
12th of October 1994,1994-10-12
12/11/2007,2007-12-11
08/13/1998,1998-08-13
27 September 2005,2005-09-27
"June 11, 2006",2006-06-11
24 May 1973,1973-05-24
"December 27, 1996",1996-12-27
"September 1, 1970",1970-09-01
11/03/2002,2002-11-03
24.02.2004,2004-02-24
17.12.2001,2001-12-17
8 July 2032,2032-07-08
22.03.2006,2006-03-22
"July 2, 1985",1985-07-02
11/28/1994,1994-11-28
2nd of July 2007,2007-07-02
"May 6, 2033",2033-05-06
28.01.2016,2016-01-28
06/22/2006,2006-06-22
"Apr 13, 2001",2001-04-13
21st of January 1973,1973-01-21
26 January 2022,2022-01-26
12/04/1997,1997-12-04
06/03/2017,2017-06-03
20th of November 1998,1998-11-20
"Aug 8, 1973",1973-08-08
05/26/2026,2026-05-26
23.10.2004,2004-10-23
12.02.2034,2034-02-12
"Jan 17, 1989",1989-01-17
19 October 2018,2018-10-19
"Jun 24, 2025",2025-06-24
01/25/2033,2033-01-25
10/27/2001,2001-10-27
"September 7, 1975",1975-09-07
26th of March 1982,1982-03-26
12th of March 1976,1976-03-12
12/25/1990,1990-12-25
"May 4, 2034",2034-05-04
7th of December 1975,1975-12-07
12/05/1983,1983-12-05
26.07.2031,2031-07-26
09/17/2019,2019-09-17
27.06.2024,2024-06-27
21.05.1994,1994-05-21
7th of January 1976,1976-01-07
16.07.1980,1980-07-16
"Apr 23, 2018",2018-04-23
"Sep 9, 2014",2014-09-09
26.08.1978,1978-08-26
18th of April 1989,1989-04-18
5 March 2017,2017-03-05
09.03.2000,2000-03-09
17 November 2022,2022-11-17
26th of August 2018,2018-08-26
08/13/1981,1981-08-13
04.04.1994,1994-04-04
06/07/2019,2019-06-07
"August 3, 1996",1996-08-03
19th of January 2017,2017-01-19
"Oct 20, 1970",1970-10-20
24 September 2028,2028-09-24
"Nov 20, 2029",2029-11-20
11/25/2018,2018-11-25
9 November 2023,2023-11-09
13 January 1981,1981-01-13
"April 20, 1986",1986-04-20
03/28/2031,2031-03-28
01/09/1985,1985-01-09
"Feb 4, 1977",1977-02-04
"January 13, 1975",1975-01-13
12/25/2007,2007-12-25
10/13/2011,2011-10-13
"August 7, 1984",1984-08-07
11 July 2019,2019-07-11
14.10.1985,1985-10-14
1 November 2028,2028-11-01
"May 24, 2007",2007-05-24
02/09/1979,1979-02-09
"October 9, 1978",1978-10-09
"Nov 13, 2013",2013-11-13
"Feb 24, 1989",1989-02-24
"November 14, 2018",2018-11-14
07/11/2008,2008-07-11
23 August 1987,1987-08-23
08/02/1999,1999-08-02
"Oct 20, 2029",2029-10-20
"Apr 3, 1993",1993-04-03
14.11.1990,1990-11-14
10 February 1978,1978-02-10
"August 19, 2001",2001-08-19
18.07.1980,1980-07-18
"May 5, 2028",2028-05-05
06/28/2027,2027-06-28
17th of February 2008,2008-02-17
02/06/2024,2024-02-06
15th of October 2014,2014-10-15
05/19/1989,1989-05-19
"March 20, 1989",1989-03-20
24th of April 1983,1983-04-24
"Jan 10, 2008",2008-01-10
"July 25, 2020",2020-07-25
"Jan 6, 1980",1980-01-06
15 February 2028,2028-02-15
18 February 2024,2024-02-18
"November 21, 2017",2017-11-21
"Apr 22, 2024",2024-04-22
"August 24, 2001",2001-08-24
06.06.1971,1971-06-06
"May 9, 2026",2026-05-09
"Feb 19, 1999",1999-02-19
"Oct 15, 1974",1974-10-15
10th of September 2025,2025-09-10
01/07/2017,2017-01-07
"October 23, 2031",2031-10-23
04/21/1988,1988-04-21
18.09.1983,1983-09-18
"February 25, 2006",2006-02-25
10/13/1973,1973-10-13
12.09.1978,1978-09-12
23.12.2011,2011-12-23
17th of October 1975,1975-10-17
"August 6, 1990",1990-08-06
"Oct 17, 2026",2026-10-17
6th of September 1990,1990-09-06
10th of May 1979,1979-05-10
10.01.2000,2000-01-10
3rd of July 1998,1998-07-03
"Jul 1, 2033",2033-07-01
"May 1, 2020",2020-05-01
11th of December 1986,1986-12-11
"Feb 1, 2021",2021-02-01
4 December 2030,2030-12-04
"Sep 26, 1992",1992-09-26
8 December 1994,1994-12-08
20.02.1998,1998-02-20
"February 5, 1976",1976-02-05
27th of July 2004,2004-07-27
"October 24, 2030",2030-10-24
"November 22, 1999",1999-11-22
5 October 2024,2024-10-05
5 June 1986,1986-06-05
"April 11, 1977",1977-04-11
7th of September 1999,1999-09-07
27.01.2017,2017-01-27
08.11.1988,1988-11-08
2nd of March 2012,2012-03-02
15 March 2018,2018-03-15
01/28/1997,1997-01-28
"February 5, 2024",2024-02-05
18th of November 2006,2006-11-18
"Mar 5, 2031",2031-03-05
04/08/2025,2025-04-08
04/24/2020,2020-04-24
08/14/2015,2015-08-14
"May 27, 2034",2034-05-27
"November 11, 1981",1981-11-11
10 February 1986,1986-02-10
27.12.2005,2005-12-27
19.03.1985,1985-03-19
03/21/2023,2023-03-21
16.06.1998,1998-06-16
"January 22, 2021",2021-01-22
28 August 1991,1991-08-28
26th of March 2003,2003-03-26
"Nov 3, 2025",2025-11-03
"Oct 28, 2021",2021-10-28
09.09.2024,2024-09-09
"Sep 28, 2015",2015-09-28
"April 10, 1992",1992-04-10
22 October 1975,1975-10-22
12/24/1995,1995-12-24
24.04.2033,2033-04-24
02/09/2008,2008-02-09
05.02.1988,1988-02-05
"Jul 13, 1994",1994-07-13
"Apr 17, 1976",1976-04-17
09/23/1999,1999-09-23
7th of December 2023,2023-12-07
"May 1, 1984",1984-05-01
21st of November 1985,1985-11-21
"September 12, 1999",1999-09-12
"Jul 15, 1972",1972-07-15
"Jan 21, 1978",1978-01-21
19.01.2021,2021-01-19
14th of June 2019,2019-06-14
09/16/1973,1973-09-16
27 September 2030,2030-09-27
07/12/2031,2031-07-12
18 December 1972,1972-12-18
06/04/2029,2029-06-04
22 July 1974,1974-07-22
"August 10, 2021",2021-08-10
08.03.1970,1970-03-08
21st of March 2003,2003-03-21
"Oct 27, 2024",2024-10-27
"Jul 12, 1977",1977-07-12
06/24/1980,1980-06-24
"Oct 11, 1972",1972-10-11
12th of August 2012,2012-08-12
9th of July 1976,1976-07-09
26th of September 1980,1980-09-26
"Jun 3, 1997",1997-06-03
2nd of July 2027,2027-07-02
23rd of October 1980,1980-10-23
"Nov 3, 1994",1994-11-03
"Jun 22, 2032",2032-06-22
20th of January 2028,2028-01-20
11/09/2025,2025-11-09
07/24/2002,2002-07-24
09/08/2019,2019-09-08
"June 4, 1994",1994-06-04
"April 18, 1992",1992-04-18
16.06.1986,1986-06-16
10th of May 2003,2003-05-10
05/07/2030,2030-05-07
08.12.2020,2020-12-08
"May 10, 2025",2025-05-10
9th of November 1990,1990-11-09
4 September 2030,2030-09-04
"November 7, 1984",1984-11-07
"June 3, 2005",2005-06-03
"Jun 8, 2034",2034-06-08
5th of October 2000,2000-10-05
19th of October 2022,2022-10-19
05/19/2023,2023-05-19
"March 15, 1989",1989-03-15
"Sep 23, 2003",2003-09-23
"Jan 6, 2003",2003-01-06
14th of October 2008,2008-10-14
"Jan 5, 1985",1985-01-05
03/11/2007,2007-03-11
05/08/1994,1994-05-08
9th of April 2027,2027-04-09
07/25/1982,1982-07-25
03.03.1980,1980-03-03
"April 25, 1992",1992-04-25
12 April 1985,1985-04-12
"Jun 28, 2011",2011-06-28
"September 23, 1994",1994-09-23
"February 2, 1980",1980-02-02
11th of October 2021,2021-10-11
12/08/2019,2019-12-08
"Aug 23, 2008",2008-08-23
2nd of October 1995,1995-10-02
26th of April 1984,1984-04-26
2 June 1974,1974-06-02
06/07/1994,1994-06-07
24 February 2002,2002-02-24
"March 27, 1993",1993-03-27
7 December 2026,2026-12-07
12 March 1970,1970-03-12
24 June 2032,2032-06-24
5 June 1978,1978-06-05
"Apr 22, 1971",1971-04-22
03/13/2003,2003-03-13
24th of May 1979,1979-05-24
19 October 2000,2000-10-19
06.12.2009,2009-12-06
10 September 2008,2008-09-10
08/28/1971,1971-08-28
"October 27, 1993",1993-10-27
02.12.1976,1976-12-02
"February 8, 1979",1979-02-08
"Jan 24, 1991",1991-01-24
27.11.2014,2014-11-27
08/22/1994,1994-08-22
09/11/2021,2021-09-11
12/26/1982,1982-12-26
05/11/2019,2019-05-11
"Jan 12, 1987",1987-01-12
17th of September 1986,1986-09-17
